Gene stable ID,Chromosome/scaffold name,Gene name
ENSG00000132109,11,TRIM21
ENSG00000226995,20,LINC00658
ENSG00000226788,HSCHR6_MHC_COX,RING1
ENSG00000206488,HSCHR6_MHC_QBL,ATAT1
ENSG00000093009,22,CDC45
ENSG00000013563,X,DNASE1L1
ENSG00000164729,17,SLC35G3
ENSG00000110900,12,TSPAN11
ENSG00000233822,6,HIST1H2BN
ENSG00000234597,2,AC010096.1
ENSG00000234012,HSCHR6_MHC_APD,MDC1
ENSG00000110665,11,C11orf21
ENSG00000265904,17,AC005288.1
ENSG00000122787,7,AKR1D1
ENSG00000157992,2,KRTCAP3
ENSG00000205181,20,LINC00654
ENSG00000157456,15,CCNB2
ENSG00000081923,18,ATP8B1
ENSG00000123843,1,C4BPB
ENSG00000180061,19,TMEM150B
ENSG00000184348,6,HIST1H2AK
ENSG00000112039,6,FANCE
ENSG00000136197,7,C7orf25
ENSG00000115541,2,HSPE1
ENSG00000196778,11,OR52K1
ENSG00000113282,5,CLINT1
ENSG00000166750,17,SLFN5
ENSG00000152348,5,ATG10
ENSG00000101323,20,HAO1
ENSG00000107789,10,MINPP1
ENSG00000156959,3,LHFPL4
ENSG00000138207,10,RBP4
ENSG00000112530,6,PACRG
ENSG00000143452,1,HORMAD1
ENSG00000103064,16,SLC7A6
ENSG00000169740,10,ZNF32
ENSG00000118496,6,FBXO30
ENSG00000161800,12,RACGAP1
ENSG00000228784,2,LINC00954
ENSG00000188676,8,IDO2
ENSG00000232268,11,OR52I1
ENSG00000229876,20,CASC20
ENSG00000239589,3,LINC00879
ENSG00000226482,3,ADIPOQ-AS1
ENSG00000165410,14,CFL2
ENSG00000227544,7,AC018647.3
ENSG00000167333,11,TRIM68
ENSG00000120699,13,EXOSC8
ENSG00000177697,11,CD151
ENSG00000136485,17,DCAF7
ENSG00000125827,20,TMX4
ENSG00000107562,10,CXCL12
ENSG00000114126,3,TFDP2
ENSG00000129048,3,ACKR4
ENSG00000184357,6,HIST1H1B
ENSG00000187860,22,CCDC157
ENSG00000198838,15,RYR3
ENSG00000126391,11,FRMD8
ENSG00000182759,8,MAFA
ENSG00000110104,11,CCDC86
ENSG00000136811,9,ODF2
ENSG00000225479,20,PLCB1-IT1
ENSG00000179841,14,AKAP5
ENSG00000176681,17,LRRC37A
ENSG00000196562,20,SULF2
ENSG00000176022,1,B3GALT6
ENSG00000014164,8,ZC3H3
ENSG00000137814,15,HAUS2
ENSG00000266769,10,AL353751.1
ENSG00000256646,7,PSMA2
ENSG00000183134,11,PTGDR2
ENSG00000157540,21,DYRK1A
ENSG00000095464,10,PDE6C
ENSG00000227906,20,SNAP25-AS1
ENSG00000125676,X,THOC2
ENSG00000064201,11,TSPAN32
ENSG00000198755,6,RPL10A
ENSG00000174100,17,MRPL45
ENSG00000126804,14,ZBTB1
ENSG00000112697,6,TMEM30A
ENSG00000165061,8,ZMAT4
ENSG00000172795,5,DCP2
ENSG00000149506,11,ZP1
ENSG00000136463,17,TACO1
ENSG00000087111,17,PIGS
ENSG00000142347,19,MYO1F
ENSG00000128815,10,WDFY4
ENSG00000144648,3,ACKR2
ENSG00000234378,2,AC098828.2
ENSG00000123838,1,C4BPA
ENSG00000112337,6,SLC17A2
ENSG00000104783,19,KCNN4
ENSG00000123360,12,PDE1B
ENSG00000099999,22,RNF215
ENSG00000081307,3,UBA5
ENSG00000256262,12,USP30-AS1
ENSG00000232229,10,LINC00865
ENSG00000169599,2,NFU1
ENSG00000124370,2,MCEE
ENSG00000146707,7,POMZP3
ENSG00000122359,10,ANXA11
ENSG00000163719,3,MTMR14
ENSG00000115840,2,SLC25A12
ENSG00000197153,6,HIST1H3J
ENSG00000113456,5,RAD1
ENSG00000112531,6,QKI
ENSG00000233224,6,HIST1H2AM
ENSG00000115540,2,MOB4
ENSG00000145824,5,CXCL14
ENSG00000049283,17,EPN3
ENSG00000104518,8,GSDMD
ENSG00000157483,15,MYO1E
ENSG00000106588,7,PSMA2
ENSG00000128709,2,HOXD9
ENSG00000117859,1,OSBPL9
ENSG00000250170,3,RASA2-IT1
ENSG00000053524,3,MCF2L2
ENSG00000164403,5,SHROOM1
ENSG00000160087,1,UBE2J2
ENSG00000165792,14,METTL17
ENSG00000053900,4,ANAPC4
ENSG00000198909,17,MAP3K3
ENSG00000145832,5,SLC25A48
ENSG00000038382,5,TRIO
ENSG00000142661,1,MYOM3
ENSG00000004838,3,ZMYND10
ENSG00000175879,2,HOXD8
ENSG00000182621,20,PLCB1
ENSG00000124383,2,MPHOSPH10
ENSG00000164330,5,EBF1
ENSG00000014641,2,MDH1
ENSG00000184113,22,CLDN5
ENSG00000065491,6,TBC1D22B
ENSG00000196504,2,PRPF40A
ENSG00000131507,5,NDFIP1
ENSG00000197428,11,OR51D1
ENSG00000100003,22,SEC14L2
ENSG00000180785,11,OR51E1
ENSG00000115084,2,SLC35F5
ENSG00000157542,21,KCNJ6
ENSG00000137218,6,FRS3
ENSG00000227047,2,AC012065.4
ENSG00000224156,HSCHR6_MHC_APD,TUBB
ENSG00000167332,11,OR51E2
ENSG00000186908,12,ZDHHC17
ENSG00000144136,2,SLC20A1
ENSG00000104763,8,ASAH1
ENSG00000110107,11,PRPF19
ENSG00000167346,11,MMP26
ENSG00000164291,5,ARSK
ENSG00000142186,11,SCYL1
ENSG00000261493,HG79_PATCH,REXO4
ENSG00000264465,16,AC008938.1
ENSG00000187678,5,SPRY4
ENSG00000112818,6,MEP1A
ENSG00000064490,19,RFXANK
ENSG00000256439,16,AC008731.1
ENSG00000158163,3,DZIP1L
ENSG00000196352,1,CD55
ENSG00000013573,12,DDX11
ENSG00000259062,14,ACTN1-AS1
ENSG00000151577,3,DRD3
ENSG00000244124,3,ATP1B3-AS1
ENSG00000124593,6,PRICKLE4
ENSG00000231204,2,AC011752.1
ENSG00000113578,5,FGF1
ENSG00000007516,16,BAIAP3
ENSG00000258227,7,CLEC5A
ENSG00000177700,11,POLR2L
ENSG00000198642,9,KLHL9
ENSG00000235537,2,AC009411.2
ENSG00000262607,HSCHR12_1_CTG1,IQSEC3
ENSG00000112511,6,PHF1
ENSG00000196476,20,C20orf96
ENSG00000229621,2,AC018742.1
ENSG00000153832,2,FBXO36
ENSG00000105737,19,GRIK5
ENSG00000127314,12,RAP1B
ENSG00000198948,4,MFAP3L
ENSG00000102710,13,SUPT20H
ENSG00000104332,8,SFRP1
ENSG00000229589,3,ACVR2B-AS1
ENSG00000126803,14,HSPA2
ENSG00000198604,14,BAZ1A
ENSG00000159871,19,LYPD5
ENSG00000112539,6,C6orf118
ENSG00000239641,3,PLS1-AS1
ENSG00000173653,11,RCE1
ENSG00000128652,2,HOXD3
ENSG00000186487,2,MYT1L
ENSG00000157551,21,KCNJ15
ENSG00000165807,14,PPP1R36
ENSG00000124875,4,CXCL6
ENSG00000130347,6,RTN4IP1
ENSG00000183576,14,SETD3
ENSG00000198682,10,PAPSS2
ENSG00000188282,2,RUFY4
ENSG00000163131,1,CTSS
ENSG00000099810,9,MTAP
ENSG00000170734,6,POLH
ENSG00000058866,3,DGKG
ENSG00000124374,2,PAIP2B
ENSG00000111237,12,VPS29
ENSG00000107938,10,EDRF1
ENSG00000234207,2,AC096570.2
ENSG00000171444,5,MCC
ENSG00000149927,16,DOC2A
ENSG00000233587,2,AC096570.1
ENSG00000147533,8,GOLGA7
ENSG00000268091,12,AC078925.1
ENSG00000163739,4,CXCL1
ENSG00000110108,11,TMEM109
ENSG00000007866,6,TEAD3
ENSG00000214063,11,TSPAN4
ENSG00000177764,20,ZCCHC3
ENSG00000141127,17,PRPSAP2
ENSG00000102125,X,TAZ
ENSG00000177732,20,SOX12
ENSG00000103061,16,SLC7A6OS
ENSG00000131876,15,SNRPA1
ENSG00000109576,4,AADAT
ENSG00000242114,22,MTFP1
ENSG00000125454,17,SLC25A19
ENSG00000134765,18,DSC1
ENSG00000135205,7,CCDC146
ENSG00000226467,HSCHR6_MHC_COX,AGPAT1
ENSG00000111602,12,TIMELESS
ENSG00000112541,6,PDE10A
ENSG00000064012,2,CASP8
ENSG00000163735,4,CXCL5
ENSG00000256977,2,LIMS3
ENSG00000061936,12,SFSWAP
ENSG00000006118,11,TMEM132A
ENSG00000227199,7,ST7-AS1
ENSG00000182070,11,OR52A1
ENSG00000086848,11,ALG9
ENSG00000163053,2,SLC16A14
ENSG00000125841,20,NRSN2
ENSG00000115112,2,TFCP2L1
ENSG00000163734,4,CXCL3
ENSG00000119392,9,GLE1
ENSG00000226367,7,ST7-AS2
ENSG00000244734,11,HBB
ENSG00000005243,17,COPZ2
ENSG00000121073,17,SLC35B1
ENSG00000173599,11,PC
ENSG00000081041,4,CXCL2
ENSG00000186468,5,RPS23
ENSG00000136750,10,GAD2
ENSG00000170166,2,HOXD4
ENSG00000118407,6,FILIP1
ENSG00000255650,12,FAM222A-AS1
ENSG00000110651,11,CD81
ENSG00000144550,3,CPNE9
ENSG00000225590,HSCHR6_MHC_COX,VPS52
ENSG00000146414,6,SHPRH
ENSG00000198707,12,CEP290
ENSG00000135643,12,KCNMB4
ENSG00000128645,2,HOXD1
ENSG00000157554,21,ERG
ENSG00000171989,15,LDHAL6B
ENSG00000134760,18,DSG1
ENSG00000100012,22,SEC14L3
ENSG00000170899,6,GSTA4
ENSG00000178015,5,GPR150
ENSG00000236236,HSCHR6_MHC_SSTO,TNXB
ENSG00000163738,4,MTHFD2L
ENSG00000147889,9,CDKN2A
ENSG00000082213,5,C5orf22
ENSG00000157470,15,FAM81A
ENSG00000223654,HSCHR6_MHC_APD,FLOT1
ENSG00000144868,3,TMEM108
ENSG00000250208,12,FZD10-AS1
ENSG00000273291,3,KRBOX1
ENSG00000167637,19,ZNF283
ENSG00000132600,16,PRMT7
ENSG00000178999,17,AURKB
ENSG00000128654,2,MTX2
ENSG00000157765,4,SLC34A2
ENSG00000148690,10,FRA10AC1
ENSG00000187079,11,TEAD1
ENSG00000174473,4,GALNTL6
ENSG00000111729,12,CLEC4A
ENSG00000117322,1,CR2
ENSG00000135899,2,SP110
ENSG00000142303,19,ADAMTS10
ENSG00000239445,3,ST3GAL6-AS1
ENSG00000138002,2,IFT172
ENSG00000229767,HSCHR6_MHC_APD,DDR1
ENSG00000240747,3,KRBOX1
ENSG00000213199,7,ASIC3
ENSG00000231876,16,AC009158.1
ENSG00000175065,18,DSG4
ENSG00000108950,17,FAM20A
ENSG00000263441,16,AC012181.1
ENSG00000151892,10,GFRA1
ENSG00000115368,2,WDR75
ENSG00000236183,HSCHR6_MHC_COX,LY6G6C
ENSG00000223609,11,HBD
ENSG00000112343,6,TRIM38
ENSG00000261264,HG7_PATCH,TRPV5
ENSG00000142677,1,IL22RA1
ENSG00000176082,14,AL357153.1
ENSG00000101255,20,TRIB3
ENSG00000113460,5,BRIX1
ENSG00000270959,3,LPP-AS2
ENSG00000224563,3,LPP-AS1
ENSG00000236481,16,AC002331.1
ENSG00000095752,19,IL11
ENSG00000234076,3,TPRG1-AS1
ENSG00000264935,16,AC009035.1
ENSG00000269515,10,AL137026.1
ENSG00000184185,17,KCNJ12
ENSG00000187783,10,TMEM72
ENSG00000163520,3,FBLN2
ENSG00000260040,HG7_PATCH,KEL
ENSG00000143387,1,CTSK
ENSG00000259954,16,IL21R-AS1
ENSG00000007520,16,TSR3
ENSG00000261736,16,AC002551.1
ENSG00000106591,7,MRPL32
ENSG00000221528,16,AC016597.1
ENSG00000105732,19,ZNF574
ENSG00000099284,10,H2AFY2
ENSG00000112701,6,SENP6
ENSG00000176222,19,ZNF404
ENSG00000147883,9,CDKN2B
ENSG00000185436,1,IFNLR1
ENSG00000237054,14,PRMT5-AS1
ENSG00000109586,4,GALNT7
ENSG00000101333,20,PLCB4
ENSG00000229117,12,RPL41
ENSG00000168056,11,LTBP3
ENSG00000183474,5,GTF2H2C
ENSG00000180432,3,CYP8B1
ENSG00000174255,3,ZNF80
ENSG00000242628,2,AC009228.1
ENSG00000233493,19,TMEM238
ENSG00000175449,5,RFESD
ENSG00000182585,4,EPGN
ENSG00000144063,2,MALL
ENSG00000238083,17,LRRC37A2
ENSG00000124459,19,ZNF45
ENSG00000198818,6,SFT2D1
ENSG00000138231,3,DBR1
ENSG00000176399,9,DMRTA1
ENSG00000082641,17,NFE2L1
ENSG00000162572,1,SCNN1D
ENSG00000181847,3,TIGIT
ENSG00000113396,5,SLC27A6
ENSG00000182983,3,ZNF662
ENSG00000228701,10,TNKS2-AS1
ENSG00000126822,14,PLEKHG3
ENSG00000205464,5,ATP6AP1L
ENSG00000262764,HG388_HG400_PATCH,PPP2R1B
ENSG00000133488,22,SEC14L4
ENSG00000110446,11,SLC15A3
ENSG00000090581,16,GNPTG
ENSG00000125826,20,RBCK1
ENSG00000122779,7,TRIM24
ENSG00000124610,6,HIST1H1A
ENSG00000105245,19,NUMBL
ENSG00000231179,HSCHR6_MHC_APD,MICB
ENSG00000164404,5,GDF9
ENSG00000111845,6,PAK1IP1
ENSG00000107105,9,ELAVL2
ENSG00000134757,18,DSG3
ENSG00000107551,10,RASSF4
ENSG00000260099,HG79_PATCH,ADAMTS13
ENSG00000198366,6,HIST1H3A
ENSG00000198598,12,MMP17
ENSG00000157557,21,ETS2
ENSG00000112130,6,RNF8
ENSG00000147536,8,GINS4
ENSG00000198839,7,ZNF277
ENSG00000258861,14,MIR381HG
ENSG00000183018,17,SPNS2
ENSG00000156983,3,BRPF1
ENSG00000060762,6,MPC1
ENSG00000262634,HSCHR18_1_CTG1_1,SKA1
ENSG00000162944,2,RFTN2
ENSG00000264724,3,AC099332.1
ENSG00000258529,11,ALG9
ENSG00000239672,17,NME1
ENSG00000224165,2,DNAJC27-AS1
ENSG00000196176,6,HIST1H4A
ENSG00000206487,HSCHR6_MHC_QBL,C6orf136
ENSG00000197279,6,ZNF165
ENSG00000223797,3,ENTPD3-AS1
ENSG00000109089,17,CDR2L
ENSG00000124529,6,HIST1H4B
ENSG00000159905,19,ZNF221
ENSG00000172716,17,SLFN11
ENSG00000255561,11,FDXACB1
ENSG00000046604,18,DSG2
ENSG00000002746,7,HECW1
ENSG00000108107,19,RPL28
ENSG00000174695,5,TMEM167A
ENSG00000196812,6,ZSCAN16
ENSG00000203618,22,GP1BB
ENSG00000127329,12,PTPRB
ENSG00000135972,2,MRPS9
ENSG00000112041,6,TULP1
ENSG00000144130,2,NT5DC4
ENSG00000144061,2,NPHP1
ENSG00000133794,11,ARNTL
ENSG00000204920,19,ZNF155
ENSG00000075292,2,ZNF638
ENSG00000184058,22,TBX1
ENSG00000205133,8,TRIQK
ENSG00000214491,22,SEC14L6
ENSG00000140479,15,PCSK6
ENSG00000184162,19,NR2C2AP
ENSG00000135148,12,TRAFD1
ENSG00000183527,21,PSMG1
ENSG00000198680,9,TUSC1
ENSG00000137259,6,HIST1H2AB
ENSG00000170819,3,BFSP2
ENSG00000109107,17,ALDOC
ENSG00000136490,17,LIMD2
ENSG00000028277,19,POU2F2
ENSG00000100591,14,AHSA1
ENSG00000170522,4,ELOVL6
ENSG00000114388,3,NPRL2
ENSG00000243836,7,WDR86-AS1
ENSG00000214736,6,TOMM6
ENSG00000182645,10,CCDC172
ENSG00000151164,12,RAD9B
ENSG00000120159,9,CAAP1
ENSG00000118271,18,TTR
ENSG00000158055,1,GRHL3
ENSG00000262577,HG388_HG400_PATCH,ALG9
ENSG00000164104,4,HMGB2
ENSG00000172432,6,GTPBP2
ENSG00000196226,6,HIST1H2BB
ENSG00000173621,11,LRFN4
ENSG00000111843,6,TMEM14C
ENSG00000182446,17,NPLOC4
ENSG00000059145,16,UNKL
ENSG00000063015,17,SEZ6
ENSG00000071242,6,RPS6KA2
ENSG00000135482,12,ZC3H10
ENSG00000231383,3,FGF12-AS1
ENSG00000196565,11,HBG2
ENSG00000237889,HSCHR6_MHC_APD,DDX39B
ENSG00000239911,7,PRKAG2-AS1
ENSG00000130348,6,QRSL1
ENSG00000230126,3,FGF12-AS2
ENSG00000181722,3,ZBTB20
ENSG00000203710,1,CR1
ENSG00000226709,3,FGF12-AS3
ENSG00000131828,X,PDHA1
ENSG00000164663,6,USP49
ENSG00000207765,14,AL132780.1
ENSG00000042286,10,AIFM2
ENSG00000133110,13,POSTN
ENSG00000164916,7,FOXK1
ENSG00000236508,3,ATP13A5-AS1
ENSG00000130287,19,NCAN
ENSG00000164188,5,RANBP3L
ENSG00000169857,15,AVEN
ENSG00000164105,4,SAP30
ENSG00000224855,3,OPA1-AS1
ENSG00000140297,15,GCNT3
ENSG00000128242,22,GAL3ST1
ENSG00000138792,4,ENPEP
ENSG00000262742,HSCHR5_1_CTG2,MCTP1
ENSG00000187325,X,TAF9B
ENSG00000173227,11,SYT12
ENSG00000151657,10,KIN
ENSG00000261455,7,LINC01003
ENSG00000204815,17,TTC25
ENSG00000137055,9,PLAA
ENSG00000124882,4,EREG
ENSG00000138138,10,ATAD1
ENSG00000256618,17,MTRNR2L1
ENSG00000137200,6,CMTR1
ENSG00000228405,HSCHR6_MHC_COX,RNF5
ENSG00000197694,9,SPTAN1
ENSG00000118276,18,B4GALT6
ENSG00000179061,2,AC012074.1
ENSG00000198885,2,ITPRIPL1
ENSG00000089053,12,ANAPC5
ENSG00000206486,HSCHR6_MHC_QBL,DHX16
ENSG00000159882,19,ZNF230
ENSG00000242802,7,AP5Z1
ENSG00000185838,22,GNB1L
ENSG00000135447,12,PPP1R1A
ENSG00000224220,2,AC104699.1
ENSG00000109321,4,AREG
ENSG00000013725,11,CD6
ENSG00000132382,17,MYBBP1A
ENSG00000144426,2,NBEAL1
ENSG00000140307,15,GTF2A2
ENSG00000187664,19,HAPLN4
ENSG00000269657,17,AC079210.1
ENSG00000164405,5,UQCRQ
ENSG00000109046,17,WSB1
ENSG00000128708,2,HAT1
ENSG00000176597,3,B3GNT5
ENSG00000177830,11,CHID1
ENSG00000171798,10,KNDC1
ENSG00000137720,11,C11orf1
ENSG00000259334,14,LINC00596
ENSG00000213996,19,TM6SF2
ENSG00000127951,7,FGL2
ENSG00000215256,14,DHRS4-AS1
ENSG00000241481,2,AC159540.2
ENSG00000145819,5,ARHGAP26
ENSG00000187837,6,HIST1H1C
ENSG00000226634,HSCHR6_MHC_COX,DDAH2
ENSG00000185829,17,ARL17A
ENSG00000174109,16,C16orf91
ENSG00000084676,2,NCOA1
ENSG00000184984,15,CHRM5
ENSG00000171428,8,NAT1
ENSG00000107669,10,ATE1
ENSG00000228978,HSCHR6_MHC_APD,TNF
ENSG00000159885,19,ZNF222
ENSG00000101966,X,XIAP
ENSG00000109846,11,CRYAB
ENSG00000131584,1,ACAP3
ENSG00000134153,15,EMC7
ENSG00000180901,17,KCTD2
ENSG00000231314,HSCHR6_MHC_APD,LTB
ENSG00000197599,16,CCDC154
ENSG00000177885,17,GRB2
ENSG00000091490,4,SEL1L3
ENSG00000144647,3,POMGNT2
ENSG00000114026,3,OGG1
ENSG00000145860,5,RNF145
ENSG00000141338,17,ABCA8
ENSG00000235956,HSCHR6_MHC_SSTO,PRRT1
ENSG00000006652,7,IFRD1
ENSG00000266173,17,STRADA
ENSG00000164406,5,LEAP2
ENSG00000184881,11,OR51B2
ENSG00000197584,3,KCNMB2
ENSG00000140299,15,BNIP2
ENSG00000214711,2,CAPN14
ENSG00000267022,19,ZNF223
ENSG00000203837,10,PNLIPRP3
ENSG00000100029,22,PES1
ENSG00000205572,5,SERF1B
ENSG00000242180,11,OR51B5
ENSG00000172765,3,TMCC1
ENSG00000066583,5,ISOC1
ENSG00000157927,7,RADIL
ENSG00000178386,19,ZNF223
ENSG00000231749,17,ABCA9-AS1
ENSG00000197721,1,CR1L
ENSG00000176973,11,FAM89B
ENSG00000186088,7,GSAP
ENSG00000007944,6,MYLIP
ENSG00000170276,11,HSPB2
ENSG00000203343,16,AC009107.1
ENSG00000103056,16,SMPD3
ENSG00000100883,14,SRP54
ENSG00000260768,HG7_PATCH,TRBV21-1
ENSG00000222017,2,AC011997.1
ENSG00000149300,11,C11orf52
ENSG00000247626,2,MARS2
ENSG00000184698,11,OR51M1
ENSG00000188888,17,GPR179
ENSG00000169607,2,CKAP2L
ENSG00000096872,9,IFT74
ENSG00000174442,15,ZWILCH
ENSG00000204839,8,MROH6
ENSG00000196912,2,ANKRD36B
ENSG00000167359,11,OR51I1
ENSG00000212999,8,AC117834.1
ENSG00000187918,11,OR51I2
ENSG00000164106,4,SCRG1
ENSG00000026297,6,RNASET2
ENSG00000254318,8,C8orf87
ENSG00000169764,2,UGP2
ENSG00000154485,10,MMP21
ENSG00000177917,2,ARL6IP6
ENSG00000235915,HSCHR6_MHC_APD,LST1
ENSG00000108106,19,UBE2S
ENSG00000184281,11,TSSC4
ENSG00000238202,7,AC002465.2
ENSG00000255733,12,IFNG-AS1
ENSG00000173442,11,EHBP1L1
ENSG00000124641,6,MED20
ENSG00000164107,4,HAND2
ENSG00000049759,18,NEDD4L
ENSG00000180815,X,MAP3K15
ENSG00000001460,1,STPG1
ENSG00000156006,8,NAT2
ENSG00000260513,HG736_PATCH,ZNF479
ENSG00000072364,5,AFF4
ENSG00000103249,16,CLCN7
ENSG00000115977,2,AAK1
ENSG00000123384,12,LRP1
ENSG00000186026,19,ZNF284
ENSG00000174111,17,SOCS7
ENSG00000185658,21,BRWD1
ENSG00000152430,2,BOLL
ENSG00000153339,18,TRAPPC8
ENSG00000143437,1,ARNT
ENSG00000203335,7,AC006019.3
ENSG00000112514,6,CUTA
ENSG00000164332,5,UBLCP1
ENSG00000175518,11,UBQLNL
ENSG00000273344,7,PAXIP1-AS1
ENSG00000006282,17,SPATA20
ENSG00000164117,4,FBXO8
ENSG00000228727,6,SAPCD1
ENSG00000144741,3,SLC25A26
ENSG00000212122,5,TSSK1B
ENSG00000170577,2,SIX2
ENSG00000180871,2,CXCR2
ENSG00000125875,20,TBC1D20
ENSG00000141741,17,MIEN1
ENSG00000267680,19,ZNF224
ENSG00000157884,2,CIB4
ENSG00000178928,19,TPRX1
ENSG00000137198,6,GMPR
ENSG00000205500,2,AC013472.3
ENSG00000063241,19,ISOC2
ENSG00000074054,2,CLASP1
ENSG00000188690,10,UROS
ENSG00000010704,6,HFE
ENSG00000157703,7,SVOPL
ENSG00000178971,17,CTC1
ENSG00000181616,11,OR52H1
ENSG00000182612,17,TSPAN10
ENSG00000173156,11,RHOD
ENSG00000105705,19,SUGP1
ENSG00000163788,3,SNRK
ENSG00000230539,7,AOAH-IT1
ENSG00000115325,2,DOK1
ENSG00000112144,6,ICK
ENSG00000227600,HSCHR6_MHC_SSTO,PPT2
ENSG00000047188,5,YTHDC2
ENSG00000112294,6,ALDH5A1
ENSG00000149925,16,ALDOA
ENSG00000178409,6,BEND3
ENSG00000172667,3,ZMAT3
ENSG00000156011,8,PSD3
ENSG00000224101,7,ELMO1-AS1
ENSG00000148925,11,BTBD10
ENSG00000145757,5,SPATA9
ENSG00000185339,22,TCN2
ENSG00000171303,2,KCNK3
ENSG00000231636,2,AGBL5-AS1
ENSG00000211483,3,AC018450.1
ENSG00000139324,12,TMTC3
ENSG00000164494,6,PDSS2
ENSG00000240012,3,SLC9A9-AS1
ENSG00000172809,17,RPL38
ENSG00000121236,11,TRIM6
ENSG00000171956,15,FOXB1
ENSG00000204396,6,VWA7
ENSG00000114098,3,ARMC8
ENSG00000079257,3,LXN
ENSG00000156521,10,TYSND1
ENSG00000150764,11,DIXDC1
ENSG00000139641,12,ESYT1
ENSG00000236315,HSCHR6_MHC_APD,NCR3
ENSG00000110448,11,CD5
ENSG00000163466,2,ARPC2
ENSG00000124126,20,PREX1
ENSG00000068784,2,SRBD1
ENSG00000184434,9,LRRC19
ENSG00000213699,2,SLC35F6
ENSG00000164118,4,CEP44
ENSG00000213066,6,FGFR1OP
ENSG00000173120,11,KDM2A
ENSG00000249978,7,TRGV7
ENSG00000188501,15,LCTL
ENSG00000133107,13,TRPC4
ENSG00000268556,2,AC012360.1
ENSG00000218497,GL000223.1,ZNF84
ENSG00000177169,12,ULK1
ENSG00000134072,3,CAMK1
ENSG00000197483,19,ZNF628
ENSG00000170144,2,HNRNPA3
ENSG00000172123,17,SLFN12
ENSG00000236575,GL000223.1,ZNF26
ENSG00000089060,12,SLC8B1
ENSG00000135966,2,TGFBRAP1
ENSG00000100036,22,SLC35E4
ENSG00000090971,19,NAT14
ENSG00000101266,20,CSNK2A1
ENSG00000256628,3,ZBTB11-AS1
ENSG00000177519,2,RPRM
ENSG00000105392,19,CRX
ENSG00000234608,12,MAPKAPK5-AS1
ENSG00000077420,10,APBB1IP
ENSG00000152422,5,XRCC4
ENSG00000174808,4,BTC
ENSG00000145808,5,ADAMTS19
ENSG00000225485,17,ARHGAP23
ENSG00000167065,22,DUSP18
ENSG00000170214,5,ADRA1B
ENSG00000167987,11,VPS37C
ENSG00000120156,9,TEK
ENSG00000228668,7,TRGV5P
ENSG00000160746,3,ANO10
ENSG00000233854,7,POU6F2-AS2
ENSG00000120708,5,TGFBI
ENSG00000154025,17,SLC5A10
ENSG00000070182,14,SPTB
ENSG00000268894,10,PLCE1-AS1
ENSG00000133401,5,PDZD2
ENSG00000169116,4,PARM1
ENSG00000165644,10,COMTD1
ENSG00000118849,3,RARRES1
ENSG00000113312,5,TTC1
ENSG00000267365,17,KCNJ2-AS1
ENSG00000182405,15,PGBD4
ENSG00000090061,14,CCNK
ENSG00000256294,19,ZNF225
ENSG00000162992,2,NEUROD1
ENSG00000173198,X,CYSLTR1
ENSG00000105398,19,SULT2A1
ENSG00000137834,15,SMAD6
ENSG00000206485,HSCHR6_MHC_QBL,PPP1R18
ENSG00000233345,HSCHR6_MHC_APD,MSH5
ENSG00000001461,1,NIPAL3
ENSG00000117335,1,CD46
ENSG00000273117,7,AC144652.1
ENSG00000188334,19,BSPH1
ENSG00000100726,16,TELO2
ENSG00000267229,HG388_HG400_PATCH,ALG9
ENSG00000179954,19,SSC5D
ENSG00000221838,7,AP4M1
ENSG00000263002,19,ZNF234
ENSG00000134152,15,KATNBL1
ENSG00000164093,4,PITX2
ENSG00000138449,2,SLC40A1
ENSG00000115163,2,CENPA
ENSG00000079332,10,SAR1A
ENSG00000175535,10,PNLIP
ENSG00000108468,17,CBX1
ENSG00000169393,19,ELSPBP1
ENSG00000172578,3,KLHL6
ENSG00000147010,X,SH3KBP1
ENSG00000231951,7,AC004837.4
ENSG00000112320,6,SOBP
ENSG00000125869,20,LAMP5
ENSG00000188185,7,LINC00265
ENSG00000221020,17,AC107993.1
ENSG00000171148,3,TADA3
ENSG00000262028,HG388_HG400_PATCH,FDXACB1
ENSG00000159374,2,M1AP
ENSG00000163743,4,RCHY1
ENSG00000206484,HSCHR6_MHC_QBL,NRM
ENSG00000137210,6,TMEM14B
ENSG00000152266,11,PTH
ENSG00000147145,X,LPAR4
ENSG00000112486,6,CCR6
ENSG00000184470,22,TXNRD2
ENSG00000169972,1,PUSL1
ENSG00000205476,14,CCDC85C
ENSG00000164292,5,RHOBTB3
ENSG00000113580,5,NR3C1
ENSG00000184792,22,OSBP2
ENSG00000262176,HG388_HG400_PATCH,C11orf1
ENSG00000261028,16,AC012322.1
ENSG00000172878,2,METAP1D
ENSG00000229859,11,PGA3
ENSG00000168724,5,DNAJC21
ENSG00000205571,5,SMN2
ENSG00000073969,17,NSF
ENSG00000167380,19,ZNF226
ENSG00000154760,17,SLFN13
ENSG00000184939,16,ZFP90
ENSG00000198108,5,CHSY3
ENSG00000115091,2,ACTR3
ENSG00000197601,11,FAR1
ENSG00000121879,3,PIK3CA
ENSG00000166984,6,TCP10L2
ENSG00000150768,11,DLAT
ENSG00000108278,17,ZNHIT3
ENSG00000120160,9,EQTN
ENSG00000261742,16,LINC00922
ENSG00000166949,15,SMAD3
ENSG00000078589,X,P2RY10
ENSG00000196927,16,AC009093.1
