Gene	N_synonymous	N_missense	N_nonsense	N_splicing	Ratio_missense	Ratio_nonsense	Ratio_splicing	Pvalue	Qvalue	Condition	Pconvert	Qconvert	Genetype
ARHGAP21	0	1	0	0	58.0153718868347	0	0	0.0459726699182986	0.999989569561842	Disease	1.33750027334099	4.52990536018046e-06	Other
PCLO	0	0	0	0	0	0	0	0.950674708054791	0.999989569561842	Disease	0.0219680599959503	4.52990536018046e-06	Other
DNHD1	0	0	0	0	0	0	0	0.956095436436862	0.999989569561842	Disease	0.0194987547435555	4.52990536018046e-06	Other
PKHD1	0	0	0	0	0	0	0	0.96039544443351	0.999989569561842	Disease	0.0175499086546616	4.52990536018046e-06	Other
FLNB	0	0	0	0	0	0	0	0.974014638630549	0.999989569561842	Disease	0.0114345159871998	4.52990536018046e-06	Other
DSP	0	0	0	0	0	0	0	0.974064015681794	0.999989569561842	Disease	0.011412500263301	4.52990536018046e-06	Other
C2orf16	0	0	0	0	0	0	0	0.980317644719686	0.999989569561842	Disease	0.00863318043311916	4.52990536018046e-06	Other
SCN1A	0	0	0	0	0	0	0	0.981267255927119	0.999989569561842	Disease	0.00821269295952295	4.52990536018046e-06	Other
RP11-766F14.2	0	0	0	0	0	0	0	0.982725661559023	0.999989569561842	Disease	0.00756770322550607	4.52990536018046e-06	Other
SSC5D	0	0	0	0	0	0	0	0.98435669034763	0.999989569561842	Disease	0.00684750260516873	4.52990536018046e-06	Other
GRIN2B	0	0	0	0	0	0	0	0.985594432500597	0.999989569561842	Disease	0.00630175844780948	4.52990536018046e-06	Other
KIAA1432	0	0	0	0	0	0	0	0.986239843000198	0.999989569561842	Disease	0.00601745643315042	4.52990536018046e-06	Other
ATAD2	0	0	0	0	0	0	0	0.986619711850672	0.999989569561842	Disease	0.00585021194051439	4.52990536018046e-06	Other
NFASC	0	0	0	0	0	0	0	0.98677172398272	0.999989569561842	Disease	0.005783303744743	4.52990536018046e-06	Other
TAOK2	0	0	0	0	0	0	0	0.987903140685929	0.999989569561842	Disease	0.0052856338817202	4.52990536018046e-06	Other
MEGF10	0	0	0	0	0	0	0	0.988161317733196	0.999989569561842	Disease	0.00517215087549311	4.52990536018046e-06	Other
ZNF862	0	0	0	0	0	0	0	0.988792007425418	0.999989569561842	Disease	0.00489505271750262	4.52990536018046e-06	Other
CATSPERG	0	0	0	0	0	0	0	0.988817970405642	0.999989569561842	Disease	0.00488364947907612	4.52990536018046e-06	Other
PPP2R3A	0	0	0	0	0	0	0	0.988954174436969	0.999989569561842	Disease	0.00482383201277603	4.52990536018046e-06	Other
SECISBP2L	0	0	0	0	0	0	0	0.98945611529328	0.999989569561842	Disease	0.00460346301252731	4.52990536018046e-06	Other
MCTP1	0	0	0	0	0	0	0	0.99000796815741	0.999989569561842	Disease	0.00436130993490695	4.52990536018046e-06	Other
PTGFRN	0	0	0	0	0	0	0	0.991440610209958	0.999989569561842	Disease	0.00373329601299401	4.52990536018046e-06	Other
VPS16	0	0	0	0	0	0	0	0.991678952463654	0.999989569561842	Disease	0.00362890419715881	4.52990536018046e-06	Other
WDR78	0	0	0	0	0	0	0	0.991748403477493	0.999989569561842	Disease	0.00359848998310165	4.52990536018046e-06	Other
CDH16	0	0	0	0	0	0	0	0.991853930876104	0.999989569561842	Disease	0.00355228115771776	4.52990536018046e-06	Other
ACAP2	0	0	0	0	0	0	0	0.992508010102005	0.999989569561842	Disease	0.00326597954815959	4.52990536018046e-06	Other
FASTKD5	0	0	0	0	0	0	0	0.992990360373715	0.999989569561842	Disease	0.00305496747322263	4.52990536018046e-06	Other
GPCPD1	0	0	0	0	0	0	0	0.993326179886628	0.999989569561842	Disease	0.00290811820745144	4.52990536018046e-06	Other
KRT3	0	0	0	0	0	0	0	0.993711497465365	0.999989569561842	Disease	0.00273968526606238	4.52990536018046e-06	Other
TNFRSF8	0	0	0	0	0	0	0	0.993978478065844	0.999989569561842	Disease	0.0026230189813925	4.52990536018046e-06	Other
EIF3L	0	0	0	0	0	0	0	0.994487603612582	0.999989569561842	Disease	0.00240062602994792	4.52990536018046e-06	Other
NETO1	0	0	0	0	0	0	0	0.99472857519826	0.999989569561842	Disease	0.00229540606282517	4.52990536018046e-06	Other
POLE2	0	0	0	0	0	0	0	0.994932197560712	0.999989569561842	Disease	0.00220651445886495	4.52990536018046e-06	Other
RHCG	0	0	0	0	0	0	0	0.995288037143599	0.999989569561842	Disease	0.00205121589819038	4.52990536018046e-06	Other
STEAP3	0	0	0	0	0	0	0	0.99534652308576	0.999989569561842	Disease	0.00202569627498661	4.52990536018046e-06	Other
ZNF563	0	0	0	0	0	0	0	0.995454369309608	0.999989569561842	Disease	0.00197864283017835	4.52990536018046e-06	Other
CADM4	0	0	0	0	0	0	0	0.995944254707856	0.999989569561842	Disease	0.00176496935772552	4.52990536018046e-06	Other
GCNT1	0	0	0	0	0	0	0	0.995974789980555	0.999989569561842	Disease	0.0017516542579247	4.52990536018046e-06	Other
SHOX2	0	0	0	0	0	0	0	0.996475471683202	0.999989569561842	Disease	0.0015333870224407	4.52990536018046e-06	Other
OR51J1	0	0	0	0	0	0	0	0.996709937610505	0.999989569561842	Disease	0.00143121162178139	4.52990536018046e-06	Other
ISY1-RAB43	0	0	0	0	0	0	0	0.99674848149788	0.999989569561842	Disease	0.00141441729345241	4.52990536018046e-06	Other
ISY1	0	0	0	0	0	0	0	0.996947839462977	0.999989569561842	Disease	0.00132756347971597	4.52990536018046e-06	Other
OR14C36	0	0	0	0	0	0	0	0.996970840689579	0.999989569561842	Disease	0.00131754370720482	4.52990536018046e-06	Other
LDLRAD1	0	0	0	0	0	0	0	0.997811361802096	0.999989569561842	Disease	0.000951555177493215	4.52990536018046e-06	Other
ATG12	0	0	0	0	0	0	0	0.99807634992838	0.999989569561842	Disease	0.000836235181267873	4.52990536018046e-06	Other
C14orf132	0	0	0	0	0	0	0	0.998310378949332	0.999989569561842	Disease	0.000734413714114358	4.52990536018046e-06	Other
CARD18	0	0	0	0	0	0	0	0.999133260089197	0.999989569561842	Disease	0.00037658358410351	4.52990536018046e-06	Other
